Date,Description,Amount,Category,PaymentMethod,Location,AccountType,TransactionType,DeviceUsed,Currency,MerchantType,LoyaltyProgram,Weekday,Month,TimeOfDay
07-09-2025,Transaction at H&M,5319.12,Clothing,Debit Card,Hyderabad,Salary,Debit,Mobile,INR,Retail,Yes,Sunday,September,Afternoon
07-09-2025,Transaction at Meru Cabs,1178.49,Transport,Debit Card,Hyderabad,Salary,Debit,POS Terminal,INR,Service,No,Sunday,September,Evening
07-09-2025,Transaction at Wrogn,7499.38,Clothing,Debit Card,Mumbai,Current,Debit,POS Terminal,INR,Retail,No,Sunday,September,Night
07-09-2025,Transaction at Uber,308.35,Transport,Debit Card,Bangalore,Savings,Debit,POS Terminal,INR,Service,Yes,Sunday,September,Night
08-09-2025,Transaction at IndiGo,7841.59,Travel,Net Banking,Bangalore,Savings,Debit,POS Terminal,INR,Service,Yes,Monday,September,Evening
08-09-2025,Transaction at Nilgiris,1636.19,Grocery,Credit Card,Kolkata,Salary,Debit,Mobile,INR,Retail,Yes,Monday,September,Night
08-09-2025,Transaction at Amazon,9526.2,Online Shopping,Net Banking,Kolkata,Savings,Debit,POS Terminal,INR,Online Store,No,Monday,September,Afternoon
08-09-2025,Transaction at Apollo Pharmacy,8719.23,Healthcare,Debit Card,Delhi,Credit Card,Debit,Mobile,INR,Service,No,Monday,September,Night
08-09-2025,Transaction at BMTC,1919.07,Transport,Net Banking,Kolkata,Savings,Debit,Desktop,INR,Service,Yes,Monday,September,Afternoon
08-09-2025,Transaction at Tata Cliq,3325.5,Online Shopping,UPI,Delhi,Savings,Debit,POS Terminal,INR,Online Store,No,Monday,September,Night
08-09-2025,Transaction at Netmeds,5143.21,Healthcare,Net Banking,Kolkata,Current,Debit,Mobile,INR,Service,No,Monday,September,Afternoon
08-09-2025,Transaction at Water Board,5542.57,Bills,Credit Card,Delhi,Current,Debit,POS Terminal,INR,Service,Yes,Monday,September,Morning
08-09-2025,Transaction at RedBus,1123.58,Transport,Net Banking,Kolkata,Salary,Debit,Desktop,INR,Service,No,Monday,September,Morning
08-09-2025,Transaction at Amazon Prime,169.81,Entertainment,UPI,Chennai,Credit Card,Debit,Mobile,INR,Subscription,Yes,Monday,September,Night
08-09-2025,Transaction at Amazon,9011.81,Online Shopping,Debit Card,Mumbai,Credit Card,Debit,Desktop,INR,Online Store,No,Monday,September,Night
08-09-2025,Transaction at Metro Rail,1907.45,Transport,UPI,Hyderabad,Current,Debit,POS Terminal,INR,Service,No,Monday,September,Morning
08-09-2025,Transaction at Property Tax Online,5743.73,Bills,UPI,Delhi,Current,Debit,Mobile,INR,Service,No,Monday,September,Morning
08-09-2025,Transaction at Kauvery,2023.07,Healthcare,Credit Card,Pune,Salary,Debit,Desktop,INR,Service,Yes,Monday,September,Evening
08-09-2025,Transaction at Snapdeal,1629.64,Online Shopping,Debit Card,Delhi,Current,Debit,POS Terminal,INR,Online Store,Yes,Monday,September,Morning
08-09-2025,Transaction at Apple Music,301.86,Entertainment,UPI,Hyderabad,Current,Debit,Mobile,INR,Subscription,No,Monday,September,Evening
09-09-2025,Transaction at Amazon,7246.88,Online Shopping,Credit Card,Bangalore,Current,Debit,POS Terminal,INR,Online Store,Yes,Tuesday,September,Afternoon
09-09-2025,Transaction at Rapido,454.74,Transport,Net Banking,Bangalore,Salary,Debit,POS Terminal,INR,Service,Yes,Tuesday,September,Morning
09-09-2025,Transaction at Vistara,4182.97,Travel,UPI,Pune,Savings,Debit,POS Terminal,INR,Service,No,Tuesday,September,Afternoon
09-09-2025,Transaction at Yatra,1308.81,Travel,Credit Card,Bangalore,Current,Debit,Mobile,INR,Service,Yes,Tuesday,September,Afternoon
09-09-2025,Transaction at Nature's Basket,664.81,Grocery,Net Banking,Delhi,Current,Debit,Mobile,INR,Retail,Yes,Tuesday,September,Evening
09-09-2025,Transaction at Apple Music,455.14,Entertainment,UPI,Mumbai,Salary,Debit,POS Terminal,INR,Subscription,No,Tuesday,September,Night
09-09-2025,Transaction at OnePlus,6165.73,Electronics,Credit Card,Hyderabad,Current,Debit,Mobile,INR,Retail,Yes,Tuesday,September,Night
09-09-2025,Transaction at Reliance Fresh,3091.96,Grocery,Credit Card,Delhi,Credit Card,Debit,POS Terminal,INR,Retail,No,Tuesday,September,Morning
09-09-2025,Transaction at Max Fashion,6198.09,Clothing,Debit Card,Pune,Current,Debit,POS Terminal,INR,Retail,No,Tuesday,September,Afternoon
09-09-2025,Transaction at US Polo,6109.83,Clothing,UPI,Kolkata,Credit Card,Debit,POS Terminal,INR,Retail,No,Tuesday,September,Morning
09-09-2025,Transaction at Nature's Basket,4228.35,Grocery,UPI,Delhi,Salary,Debit,POS Terminal,INR,Retail,Yes,Tuesday,September,Evening
09-09-2025,Transaction at Paradise Biryani,1053.43,Food,Debit Card,Chennai,Savings,Debit,POS Terminal,INR,Restaurant,No,Tuesday,September,Morning
09-09-2025,Transaction at Apollo Pharmacy,9056.75,Healthcare,Net Banking,Bangalore,Current,Debit,Desktop,INR,Service,No,Tuesday,September,Night
09-09-2025,Transaction at Ola,1607.41,Transport,UPI,Bangalore,Savings,Debit,POS Terminal,INR,Service,Yes,Tuesday,September,Evening
09-09-2025,Transaction at Dominos,624.96,Food,UPI,Delhi,Current,Debit,POS Terminal,INR,Restaurant,Yes,Tuesday,September,Night
09-09-2025,Transaction at ACT Fibernet,542.78,Bills,Net Banking,Pune,Credit Card,Debit,Desktop,INR,Service,No,Tuesday,September,Afternoon
09-09-2025,Transaction at Metro Rail,1540.62,Transport,Credit Card,Mumbai,Credit Card,Debit,Desktop,INR,Service,Yes,Tuesday,September,Afternoon
09-09-2025,Transaction at Nilgiris,2332.17,Grocery,Net Banking,Hyderabad,Savings,Debit,Desktop,INR,Retail,Yes,Tuesday,September,Morning
09-09-2025,Transaction at Reliance Fresh,3767.1,Grocery,UPI,Kolkata,Savings,Debit,POS Terminal,INR,Retail,No,Tuesday,September,Evening
10-09-2025,Transaction at IRCTC,4831.09,Travel,UPI,Delhi,Savings,Debit,POS Terminal,INR,Service,Yes,Wednesday,September,Evening
10-09-2025,Transaction at Max Fashion,5006.05,Clothing,Debit Card,Chennai,Credit Card,Debit,Desktop,INR,Retail,No,Wednesday,September,Afternoon
10-09-2025,Transaction at Levis,7890.44,Clothing,Credit Card,Bangalore,Savings,Debit,Desktop,INR,Retail,No,Wednesday,September,Night
10-09-2025,Transaction at Spotify,143.72,Entertainment,Credit Card,Mumbai,Savings,Debit,POS Terminal,INR,Subscription,Yes,Wednesday,September,Night
10-09-2025,Transaction at SonyLiv,407.32,Entertainment,Debit Card,Hyderabad,Credit Card,Debit,POS Terminal,INR,Subscription,No,Wednesday,September,Evening
10-09-2025,Transaction at Adidas,5039.96,Clothing,UPI,Mumbai,Current,Debit,Mobile,INR,Retail,No,Wednesday,September,Evening
10-09-2025,Transaction at Star Bazaar,1450.74,Grocery,UPI,Pune,Current,Debit,Mobile,INR,Retail,No,Wednesday,September,Night
10-09-2025,Transaction at Wrogn,3897.32,Clothing,Credit Card,Bangalore,Salary,Debit,Desktop,INR,Retail,No,Wednesday,September,Morning
10-09-2025,Transaction at Tata Cliq,7816.27,Online Shopping,UPI,Bangalore,Salary,Debit,Desktop,INR,Online Store,No,Wednesday,September,Morning
10-09-2025,Transaction at Biba,5105.39,Clothing,UPI,Pune,Salary,Debit,Mobile,INR,Retail,No,Wednesday,September,Morning
10-09-2025,Transaction at Croma,8421.17,Electronics,UPI,Chennai,Savings,Debit,POS Terminal,INR,Retail,No,Wednesday,September,Night
10-09-2025,Transaction at Netflix,176.31,Entertainment,Debit Card,Pune,Credit Card,Debit,POS Terminal,INR,Subscription,Yes,Wednesday,September,Night
11-09-2025,Transaction at A2B,1487.69,Food,UPI,Pune,Salary,Debit,POS Terminal,INR,Restaurant,No,Thursday,September,Evening
11-09-2025,Transaction at Zee5,398.79,Entertainment,UPI,Chennai,Current,Debit,POS Terminal,INR,Subscription,No,Thursday,September,Morning
11-09-2025,Transaction at Meesho,3897.32,Online Shopping,Net Banking,Bangalore,Credit Card,Debit,Mobile,INR,Online Store,No,Thursday,September,Morning
11-09-2025,Transaction at Gaana,989.62,Entertainment,Net Banking,Mumbai,Savings,Debit,POS Terminal,INR,Subscription,No,Thursday,September,Evening
